t,market_prob
0.0,0.46
0.5,0.46
1.0,0.46
1.5,0.46
2.0,0.46
2.5,0.46
3.0,0.46
3.5,0.46
4.0,0.46
4.5,0.46
5.0,0.46
5.5,0.46
6.0,0.46
6.5,0.46
7.0,0.46
7.5,0.46
8.0,0.46
8.5,0.46
9.0,0.46
9.5,0.46
10.0,0.46
10.5,0.46
11.0,0.46
11.5,0.46
12.0,0.46
12.5,0.46
13.0,0.46
13.5,0.46
14.0,0.46
14.5,0.46
15.0,0.46
15.5,0.46
16.0,0.46
16.5,0.46
17.0,0.46
17.5,0.46
18.0,0.46
18.5,0.46
19.0,0.46
19.5,0.46
20.0,0.46
20.5,0.46
21.0,0.46
21.5,0.46
22.0,0.46
22.5,0.46
23.0,0.46
23.5,0.46
24.0,0.46
24.5,0.4601
25.0,0.4606
25.5,0.4615
26.0,0.4629
26.5,0.4645
27.0,0.4662
27.5,0.4678
28.0,0.4693
28.5,0.4707
29.0,0.4721
29.5,0.4734
30.0,0.4746
30.5,0.4758
31.0,0.4769
31.5,0.4779
32.0,0.4789
32.5,0.4799
33.0,0.4808
33.5,0.4818
34.0,0.483
34.5,0.4846
35.0,0.4865
35.5,0.4886
36.0,0.4908
36.5,0.4928
37.0,0.4947
37.5,0.4965
38.0,0.4983
38.5,0.4999
39.0,0.5015
39.5,0.503
40.0,0.5044
40.5,0.5057
41.0,0.507
41.5,0.5082
42.0,0.5094
42.5,0.5106
43.0,0.5122
43.5,0.5142
44.0,0.5167
44.5,0.5194
45.0,0.5221
45.5,0.5247
46.0,0.5272
46.5,0.5295
47.0,0.5317
47.5,0.5338
48.0,0.5358
48.5,0.5378
49.0,0.5396
49.5,0.5413
50.0,0.5429
50.5,0.5445
51.0,0.546
51.5,0.5474
52.0,0.5487
52.5,0.55
53.0,0.5512
53.5,0.5523
54.0,0.5534
54.5,0.5544
55.0,0.5554
55.5,0.5563
56.0,0.5572
56.5,0.5578
57.0,0.5577
57.5,0.5568
58.0,0.5553
58.5,0.5536
59.0,0.552
59.5,0.5505
60.0,0.5491
60.5,0.5477
61.0,0.5464
61.5,0.5452
62.0,0.544
62.5,0.5429
63.0,0.5418
63.5,0.5408
64.0,0.5399
64.5,0.539
65.0,0.5381
65.5,0.5372
66.0,0.5361
66.5,0.5348
67.0,0.5333
67.5,0.5317
68.0,0.5303
68.5,0.5289
69.0,0.5276
69.5,0.5264
70.0,0.5252
70.5,0.5241
71.0,0.523
71.5,0.522
72.0,0.521
72.5,0.5201
73.0,0.5192
73.5,0.5184
74.0,0.5176
74.5,0.5169
75.0,0.5162
75.5,0.5155
76.0,0.5149
76.5,0.5143
77.0,0.5137
77.5,0.5131
78.0,0.5126
78.5,0.5122
79.0,0.5121
79.5,0.5124
80.0,0.5129
80.5,0.5138
81.0,0.5146
81.5,0.5155
82.0,0.5163
82.5,0.517
83.0,0.5177
83.5,0.5184
84.0,0.519
84.5,0.5196
85.0,0.5202
85.5,0.5208
86.0,0.5213
86.5,0.5218
87.0,0.5223
87.5,0.5227
88.0,0.5231
88.5,0.5236
89.0,0.5239
89.5,0.5243
90.0,0.5246
90.5,0.525
91.0,0.5253
91.5,0.5256
92.0,0.5259
92.5,0.5263
93.0,0.5272
93.5,0.5286
94.0,0.5305
94.5,0.5327
95.0,0.535
95.5,0.5372
96.0,0.5393
96.5,0.5412
97.0,0.5431
97.5,0.5449
98.0,0.5466
98.5,0.5482
99.0,0.5497
99.5,0.5512
100.0,0.5526
100.5,0.5539
101.0,0.5551
101.5,0.5563
102.0,0.5574
102.5,0.5585
103.0,0.5595
103.5,0.5605
104.0,0.5614
104.5,0.5622
105.0,0.5631
105.5,0.5639
106.0,0.5646
106.5,0.5653
107.0,0.566
107.5,0.5666
108.0,0.5672
108.5,0.5679
109.0,0.5687
109.5,0.5698
110.0,0.5712
110.5,0.5726
111.0,0.5741
111.5,0.5755
112.0,0.5769
112.5,0.5782
113.0,0.5794
113.5,0.5805
114.0,0.5816
114.5,0.5827
115.0,0.5837
