t,market_prob
0.0,0.905
1.0,0.905
2.0,0.905
3.0,0.905
4.0,0.905
5.0,0.905
6.0,0.905
7.0,0.905
8.0,0.905
9.0,0.905
10.0,0.905
11.0,0.905
12.0,0.905
13.0,0.905
14.0,0.905
15.0,0.905
16.0,0.905
17.0,0.905
18.0,0.905
19.0,0.905
20.0,0.905
21.0,0.905
22.0,0.905
23.0,0.905
24.0,0.905
25.0,0.905
26.0,0.905
27.0,0.905
28.0,0.905
29.0,0.905
30.0,0.905
31.0,0.905
32.0,0.905
33.0,0.905
34.0,0.905
35.0,0.905
36.0,0.905
37.0,0.905
38.0,0.905
39.0,0.905
40.0,0.905
41.0,0.905
42.0,0.905
43.0,0.905
44.0,0.905
45.0,0.905
46.0,0.905
47.0,0.905
48.0,0.905
49.0,0.905
50.0,0.905
51.0,0.905
52.0,0.905
53.0,0.905
54.0,0.905
55.0,0.905
56.0,0.905
57.0,0.905
58.0,0.905
59.0,0.905
60.0,0.905
61.0,0.905
62.0,0.905
63.0,0.905
64.0,0.905
65.0,0.905
66.0,0.905
67.0,0.905
68.0,0.905
69.0,0.905
70.0,0.905
71.0,0.905
72.0,0.905
73.0,0.905
74.0,0.905
75.0,0.905
76.0,0.905
77.0,0.905
78.0,0.905
79.0,0.905
80.0,0.905
81.0,0.905
82.0,0.905
83.0,0.905
84.0,0.905
85.0,0.905
86.0,0.905
87.0,0.905
88.0,0.905
89.0,0.905
90.0,0.905
91.0,0.905
92.0,0.905
93.0,0.905
94.0,0.905
95.0,0.905
96.0,0.905
97.0,0.905
98.0,0.905
99.0,0.905
100.0,0.905
101.0,0.905
102.0,0.905
103.0,0.905
104.0,0.905
105.0,0.905
106.0,0.905
107.0,0.905
108.0,0.905
109.0,0.905
110.0,0.905
111.0,0.905
112.0,0.905
113.0,0.905
114.0,0.905
115.0,0.905
116.0,0.905
117.0,0.905
118.0,0.905
119.0,0.905
120.0,0.905
121.0,0.905
122.0,0.905
123.0,0.905
124.0,0.905
125.0,0.905
126.0,0.905
127.0,0.905
128.0,0.905
129.0,0.905
130.0,0.905
131.0,0.905
132.0,0.905
133.0,0.905
134.0,0.905
135.0,0.905
136.0,0.905
137.0,0.905
138.0,0.905
139.0,0.905
140.0,0.905
141.0,0.905
142.0,0.905
143.0,0.905
144.0,0.905
145.0,0.905
146.0,0.905
147.0,0.905
148.0,0.905
149.0,0.905
150.0,0.905
151.0,0.905
152.0,0.905
153.0,0.905
154.0,0.905
155.0,0.905
156.0,0.905
157.0,0.905
158.0,0.905
159.0,0.905
160.0,0.905
161.0,0.905
162.0,0.905
163.0,0.905
164.0,0.905
165.0,0.905
166.0,0.905
167.0,0.905
168.0,0.905
169.0,0.905
170.0,0.905
171.0,0.905
172.0,0.905
173.0,0.905
174.0,0.905
175.0,0.905
176.0,0.905
177.0,0.905
178.0,0.905
179.0,0.905
180.0,0.905
181.0,0.905
182.0,0.905
183.0,0.905
184.0,0.905
185.0,0.905
186.0,0.905
187.0,0.905
188.0,0.905
189.0,0.905
190.0,0.905
191.0,0.905
192.0,0.905
193.0,0.905
194.0,0.905
195.0,0.905
196.0,0.905
